file: berlin52.txt
alpha: 4, beta: 11, evaporation_rate: 0.1,  best_distance: 8279.911829312432, time: 4.961384296417236

alpha: 4, beta: 12, evaporation_rate: 0.1,  best_distance: 8229.608520991438, time: 5.392266750335693
alpha: 4, beta: 12, evaporation_rate: 0.1,  best_distance: 8432.253740913788, time: 5.91745138168335
alpha: 4, beta: 12, evaporation_rate: 0.1,  best_distance: 8121.0638109117, time: 5.008353233337402

alpha: 4, beta: 13, evaporation_rate: 0.1,  best_distance: 8074.606571862399, time: 6.355442762374878
alpha: 4, beta: 13, evaporation_rate: 0.1,  best_distance: 8103.0027734588275, time: 7.788284540176392
alpha: 4, beta: 13, evaporation_rate: 0.1,  best_distance: 8174.122062633157, time: 7.799928665161133

alpha: 4, beta: 14, evaporation_rate: 0.1,  best_distance: 8497.491799858788, time: 7.938807725906372
alpha: 4, beta: 14, evaporation_rate: 0.1,  best_distance: 8551.682679590958, time: 7.677215099334717
alpha: 4, beta: 14, evaporation_rate: 0.1,  best_distance: 8350.921077700017, time: 3.305676221847534

alpha: 4, beta: 15, evaporation_rate: 0.1,  best_distance: 8177.893116906982, time: 5.325294256210327
alpha: 4, beta: 15, evaporation_rate: 0.1,  best_distance: 8324.824936406756, time: 5.4484031200408936
alpha: 4, beta: 15, evaporation_rate: 0.1,  best_distance: 8282.72316540245, time: 4.957977056503296

alpha: 4, beta: 16, evaporation_rate: 0.1,  best_distance: 8258.556337795122, time: 5.216626882553101
alpha: 4, beta: 16, evaporation_rate: 0.1,  best_distance: 8610.628449686761, time: 5.051044940948486
alpha: 4, beta: 16, evaporation_rate: 0.1,  best_distance: 8336.62640694981, time: 5.198537826538086

alpha: 4, beta: 17, evaporation_rate: 0.1,  best_distance: 8585.34791557362, time: 5.295015335083008
alpha: 4, beta: 17, evaporation_rate: 0.1,  best_distance: 8656.855348966761, time: 5.177884817123413
alpha: 4, beta: 17, evaporation_rate: 0.1,  best_distance: 8624.011426780919, time: 5.1453306674957275

alpha: 4, beta: 18, evaporation_rate: 0.1,  best_distance: 8585.34791557362, time: 5.360926628112793
alpha: 4, beta: 18, evaporation_rate: 0.1,  best_distance: 8666.408031002395, time: 5.358462572097778
alpha: 4, beta: 18, evaporation_rate: 0.1,  best_distance: 8772.843687639404, time: 5.184051513671875

alpha: 4, beta: 19, evaporation_rate: 0.1,  best_distance: 8656.855348966761, time: 5.332370042800903
alpha: 4, beta: 19, evaporation_rate: 0.1,  best_distance: 8611.932495740923, time: 5.171455144882202
alpha: 4, beta: 19, evaporation_rate: 0.1,  best_distance: 8659.999565954708, time: 5.135608673095703

alpha: 4, beta: 20, evaporation_rate: 0.1,  best_distance: 8683.663444904674, time: 5.336518287658691
alpha: 4, beta: 20, evaporation_rate: 0.1,  best_distance: 8419.493591872188, time: 5.170153856277466
alpha: 4, beta: 20, evaporation_rate: 0.1,  best_distance: 8659.999565954708, time: 5.1420066356658936

alpha: 5, beta: 1, evaporation_rate: 0.1,  best_distance: 8641.687506155744, time: 5.2743048667907715
alpha: 5, beta: 1, evaporation_rate: 0.1,  best_distance: 9374.129608291989, time: 5.151385545730591
alpha: 5, beta: 1, evaporation_rate: 0.1,  best_distance: 8817.486856704623, time: 5.102941989898682

alpha: 5, beta: 2, evaporation_rate: 0.1,  best_distance: 8487.762106742415, time: 5.31828236579895
alpha: 5, beta: 2, evaporation_rate: 0.1,  best_distance: 8647.947298677116, time: 5.209957122802734
alpha: 5, beta: 2, evaporation_rate: 0.1,  best_distance: 8530.656273722701, time: 5.143747329711914

alpha: 5, beta: 3, evaporation_rate: 0.1,  best_distance: 8804.928801777503, time: 5.30400824546814
alpha: 5, beta: 3, evaporation_rate: 0.1,  best_distance: 8758.789925231249, time: 5.163163185119629
alpha: 5, beta: 3, evaporation_rate: 0.1,  best_distance: 8431.31926299083, time: 5.178898572921753

alpha: 5, beta: 4, evaporation_rate: 0.1,  best_distance: 8402.218633484372, time: 5.295003414154053
alpha: 5, beta: 4, evaporation_rate: 0.1,  best_distance: 8655.891373153408, time: 5.177231788635254
alpha: 5, beta: 4, evaporation_rate: 0.1,  best_distance: 8528.357138896534, time: 5.128584861755371

alpha: 5, beta: 5, evaporation_rate: 0.1,  best_distance: 8204.267193144176, time: 5.402139663696289
alpha: 5, beta: 5, evaporation_rate: 0.1,  best_distance: 8465.87842991998, time: 5.160740852355957
alpha: 5, beta: 5, evaporation_rate: 0.1,  best_distance: 8459.043132131254, time: 5.122553825378418

alpha: 5, beta: 6, evaporation_rate: 0.1,  best_distance: 8445.58117445445, time: 5.370516777038574
alpha: 5, beta: 6, evaporation_rate: 0.1,  best_distance: 8297.290447533696, time: 6.431359767913818
alpha: 5, beta: 6, evaporation_rate: 0.1,  best_distance: 8272.22625237405, time: 5.203848123550415

alpha: 5, beta: 7, evaporation_rate: 0.1,  best_distance: 8542.01690346729, time: 5.315429210662842
alpha: 5, beta: 7, evaporation_rate: 0.1,  best_distance: 8356.503722858663, time: 5.190895318984985
alpha: 5, beta: 7, evaporation_rate: 0.1,  best_distance: 8441.180848215628, time: 5.141979932785034

alpha: 5, beta: 8, evaporation_rate: 0.1,  best_distance: 8243.288665510976, time: 5.3502442836761475
alpha: 5, beta: 8, evaporation_rate: 0.1,  best_distance: 8046.061860778897, time: 5.375017404556274
alpha: 5, beta: 8, evaporation_rate: 0.1,  best_distance: 8133.035984131764, time: 5.13559889793396

alpha: 5, beta: 9, evaporation_rate: 0.1,  best_distance: 8170.273685932086, time: 5.327227592468262
alpha: 5, beta: 9, evaporation_rate: 0.1,  best_distance: 8135.050429237557, time: 5.202690601348877
